category,Coefficient,Value,Std. Error,p,Estimate_on_the_response_scale,lwr_on_the_response_scale,uppr_on_the_response_scale
PAH,ps(Date_numeric)13,-0.1707,0.182,0.3482,0.8431,0.5902,1.2043
PAH,ps(Date_numeric)14,-0.1305,0.234,0.5772,0.8777,0.5548,1.3885
PAH,Log(scale),-1.5117,0.0798,0,0.2205,0.1886,0.2578
PCP,(Intercept),3.6956,0.5512,0,40.2688,13.6696,118.627
PCP,Agesubadult,0.0605,0.094,0.5199,1.0624,0.8836,1.2773
PCP,Ageadult,-0.0018,0.1014,0.986,0.9982,0.8184,1.2176
PCP,ParkEifel,0.5085,0.402,0.2059,1.6628,0.7562,3.6565
PCP,ParkHainich,0.2758,0.4066,0.4976,1.3176,0.5938,2.9236
PCP,ParkHunsrueck,0.343,0.4085,0.4011,1.4092,0.6328,3.1382
PCP,ParkJasmund,-0.0351,0.5085,0.945,0.9655,0.3564,2.6157
PCP,ParkKellerwald,0.0551,0.4654,0.9057,1.0567,0.4244,2.6307
PCP,ParkSaechs_Schw,0.0407,0.4368,0.9257,1.0415,0.4425,2.4516
PCP,ParkVorpomm,0.2548,0.4069,0.5313,1.2902,0.5811,2.8644
PCP,Sexmale,0.0081,0.0816,0.9206,1.0082,0.8591,1.183
PCP,ps(Date_numeric)3,-0.3675,0.3346,0.2721,0.6925,0.3594,1.3342
PCP,ps(Date_numeric)4,-0.6896,0.4639,0.1371,0.5018,0.2021,1.2455
PCP,ps(Date_numeric)5,-0.8033,0.4861,0.0984,0.4479,0.1727,1.1612
PCP,ps(Date_numeric)6,-0.7338,0.4648,0.1144,0.4801,0.1931,1.1938
PCP,ps(Date_numeric)7,-0.5939,0.42,0.1573,0.5522,0.2424,1.2576
PCP,ps(Date_numeric)8,-0.4821,0.3956,0.2229,0.6175,0.2844,1.3407
PCP,ps(Date_numeric)9,-0.434,0.3896,0.2653,0.6479,0.3019,1.3905
PCP,ps(Date_numeric)10,-0.428,0.391,0.2737,0.6518,0.3029,1.4026
PCP,ps(Date_numeric)11,-0.4689,0.4139,0.2572,0.6257,0.278,1.4082
PCP,ps(Date_numeric)12,-0.5563,0.4524,0.2189,0.5733,0.2362,1.3916
PCP,ps(Date_numeric)13,-0.636,0.5596,0.2558,0.5294,0.1768,1.5855
PCP,ps(Date_numeric)14,-0.714,0.8128,0.3797,0.4897,0.0996,2.4084
PCP,Log(scale),-1.2992,0.1362,0,0.2727,0.2088,0.3562
POP,(Intercept),2.3422,0.2862,0,10.4046,5.9379,18.2311
POP,Agesubadult,-0.2576,0.0828,0.0019,0.7729,0.6571,0.909
POP,Ageadult,-0.3248,0.0873,2e-4,0.7227,0.609,0.8575
