Sample_number,Species,Sex,Age,Date_of_sample_collection,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB #180)","2,2',3,4,4',5'-Hexachlorobiphenyl (PCB #138)","2,2',4,4',5,5'-Hexachlorobiphenyl (PCB #153)","2,2',4,5,5'-Pentachlorobiphenyl (PCB #101)",Acenaphthene,Avobenzone,BHC-beta,Caffeine,"DDE-p,p'",DEHA (Di(2-ethylhexyl) adipate),DINCH (Diisononyl hexahydrophthalate),DPHP (Bis(2-propylheptyl) phthalate),EHS (2-Ethylhexyl salicylate),Epoxiconazole,Fluopyram,Fluorene,Galaxolide,OC (Octocrylene),Oxybenzone,Phenanthrene,Tetraconazole,Triphenyl phosphate,UV 328,Uvinul A Plus,Park,(-)-Cotinine,17α-Ethinylestradiol,Cypermethrin,Diphenylamine,Estrone,Fipronil,Fludioxonil,TDCPP,Tebuconazole,Tonalid,Picolinafen,Triclosan,"1,3-Dinitrobenzene","2,2',4,4'-tetrabromodiphenyl ether (BDE-47)","2,2',5,5'-Tetrachlorobiphenyl (PCB #52)",Boscalid,"2,4,4'-Trichlorobiphenyl (PCB #28)",Dieldrin,Atrazine,Propiconazole,Terbuthylazine,Terbuthylazine-desethyl,oxy-Chlordane,Clopidogrel,Diazepam,Fenpropidin,Heptachlor,Myclobutanil,trans-Chlordane,"2,2',4,4',5-pentabromodiphenyl ether (BDE-99)",Azoxystrobin,Codeine,Fipronil sulfone,Lenacil,Benzophenone-1,Difenoconazole,Dimethomorph,Season
A23,C. elaphus,Male,Adult,2024-01-28,<1,2.1,2.1,<1,<4,NA,<1,NA,<1,48.3,<4,<10,7.2,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A39,C. elaphus,Male,Subadult,2024-01-31,NA,<1,<2,NA,<4,NA,NA,<2,<1,25.5,NA,<10,<4,NA,NA,<4,<2,12,<1,<10,NA,<1,<4,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A40,C. elaphus,Male,Adult,2024-01-30,NA,<1,<2,NA,<4,NA,NA,NA,<1,26,NA,<10,<4,<1,<1,<4,<2,<10,<1,<10,<1,<1,<4,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C01,D. dama,Female,Subadult,2023-12-09,NA,<1,<2,NA,6.14,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C02,C. elaphus,Male,Subadult,2023-12-12,<1,0.974019169068429,<2,NA,<4,23.16,NA,<2,<1,<20,NA,<10,<4,<1,NA,<4,<2,60.95,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C03,C. elaphus,Female,Fawn,2023-12-05,NA,1.0242220775983999,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,<1,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C04,C. elaphus,Male,Fawn,2023-11-28,NA,1.0323827416993501,<2,NA,<4,<10,<1,<2,<1,<20,10.4752578342324,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,<1,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C05,D. dama,Male,Fawn,2024-01-15,NA,<1,<2,NA,<4,NA,NA,8.64,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,4.4499152102204604,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C06,C. elaphus,Female,Fawn,2023-12-05,NA,<1,<2,NA,<4,NA,<1,6.81,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,10.027304272081301,NA,NA,NA,NA,NA,NA,NA,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C07,D. dama,Female,Adult,2023-12-12,NA,NA,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C08,D. dama,Female,Subadult,2023-11-18,NA,<1,<2,NA,<4,NA,NA,10.26,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C09,D. dama,Female,Subadult,2024-01-13,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C10,C. elaphus,Male,Fawn,2023-12-05,<1,1.1672958262061299,<2,NA,<4,NA,NA,4.3499999999999996,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C11,C. elaphus,Female,Subadult,2023-12-05,<1,1.1175766107151901,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,<2,<1,NA,NA,2.4893000000000001,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C12,D. dama,Female,Subadult,2023-11-28,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C13,C. elaphus,Female,Fawn,2023-12-05,<1,1.2160122456792799,<2,NA,<4,NA,<1,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C14,C. elaphus,Male,Subadult,2023-12-05,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C15,D. dama,Male,Fawn,2023-11-14,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,4.4849661288753202,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C16,D. dama,Female,Fawn,2023-11-14,NA,<1,<2,NA,<4,NA,NA,8.5150000000000006,<1,<20,7.7730390596407197,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,40.216665025078001,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C17,D. dama,Male,Subadult,2023-11-28,NA,<1,<2,NA,<4,NA,NA,<2,<1,38.033940370266102,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,3.75,<10,NA,NA,NA,NA,28.844799999999999,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C18,D. dama,Male,Subadult,2023-12-05,NA,<1,<2,NA,<4,NA,NA,31.123999999999999,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,14.639799999999999,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C19,C. elaphus,Female,Adult,2023-11-14,NA,<1,<2,NA,<4,NA,NA,<2,2.3458698856812101,<20,NA,<10,<4,<1,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C20,C. elaphus,Female,Adult,2023-12-05,NA,<1,<2,NA,<4,NA,NA,3.57,<1,<20,6.4424456385236297,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,<2,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C21,D. dama,Male,Fawn,2023-12-12,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C22,C. elaphus,Male,Fawn,2023-11-28,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C23,D. dama,Female,Fawn,2023-11-28,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C24,C. elaphus,Male,Subadult,2023-12-12,NA,1.25645205383467,<2,NA,<4,NA,<1,<2,<1,<20,7.1114088234580404,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C25,C. elaphus,Male,Fawn,2023-12-12,NA,<1,<2,NA,4.0599999999999996,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C26,D. dama,Male,Fawn,2023-12-12,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C27,C. elaphus,Female,Fawn,2023-12-05,<1,<1,<2,NA,<4,NA,<1,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C28,D. dama,Female,Adult,2023-11-28,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C29,C. elaphus,Male,Fawn,2023-11-18,NA,1.1137933326274101,<2,NA,<4,<10,<1,<2,<1,<20,8.5661383890271008,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C30,C. elaphus,Male,Subadult,2023-12-05,<1,1.28363820445182,<2,NA,<4,NA,NA,9.32,<1,<20,6.4891030376112298,<10,<4,<1,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,9.0225710526774403,NA,NA,NA,NA,NA,NA,NA,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C31,D. dama,Male,Fawn,2023-11-04,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C32,C. elaphus,Female,Subadult,2023-11-28,NA,<1,<2,NA,<4,NA,NA,10.27,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C33,C. elaphus,Female,Adult,2023-12-05,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,5.3606352740391499,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C34,D. dama,Female,Adult,2023-11-04,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C35,D. dama,Male,Fawn,2023-12-09,NA,<1,<2,NA,<4,NA,NA,51.11,<1,31.824850255098099,NA,17.670803603487801,<4,NA,NA,18.7375804159796,7.4290000000000003,<10,<1,27.430045427369699,NA,<1,NA,<10,Hainich,29.839753961405499,NA,NA,NA,NA,NA,NA,<2,NA,4.7355344481431896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C36,D. dama,Female,Adult,2024-01-15,NA,<1,<2,NA,<4,NA,<1,12.56,<1,<20,8.2465455177531108,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Hainich,50.3668477988967,1.4,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C37,C. elaphus,Female,Subadult,2023-12-09,<1,2.1821232846259702,<2,NA,<4,NA,NA,<2,1.8964980217218601,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C38,C. elaphus,Female,Fawn,2023-11-14,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,9.3000000000000007,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C39,D. dama,Female,Fawn,2023-11-18,NA,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,<10,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C40,C. elaphus,Female,Adult,2023-12-12,NA,<1,<2,NA,<4,NA,NA,3.25,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
C41,C. elaphus,Male,Subadult,2023-11-28,NA,1.15850829771571,<2,NA,<4,NA,NA,5.21,<1,<20,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Hainich,10.9915351209645,NA,NA,<10,NA,NA,NA,<2,<2,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
